"","lat","lon","elevation","time","t","delta.lat","delta.lon"
"216",39.187439,-96.578695,316.407373208553,2024-02-06 12:31:27,215,-0.00214700000000079,0.00088600000000838
"217",39.187429,-96.57869,316.444571431726,2024-02-06 12:31:28,216,-0.00215699999999686,0.000891000000009967
"218",39.187421,-96.578686,316.489941369742,2024-02-06 12:31:29,217,-0.00216499999999797,0.000894999999999868
"219",39.187413,-96.578682,316.547027222812,2024-02-06 12:31:30,218,-0.00217299999999909,0.00089900000000398
"220",39.187406,-96.578678,316.607882224955,2024-02-06 12:31:31,219,-0.00217999999999563,0.000903000000008092
"221",39.187399,-96.578673,316.668392971158,2024-02-06 12:31:32,220,-0.00218699999999927,0.000908000000009679
"222",39.187391,-96.578668,316.725230793469,2024-02-06 12:31:33,221,-0.00219500000000039,0.000913000000011266
"223",39.187383,-96.578662,316.786642109975,2024-02-06 12:31:34,222,-0.00220300000000151,0.000919000000010328
"224",39.187376,-96.578656,316.85566080641,2024-02-06 12:31:35,223,-0.00220999999999805,0.00092500000000939
"225",39.187367,-96.578649,316.936100455932,2024-02-06 12:31:36,224,-0.00221899999999664,0.000932000000005928
"226",39.187358,-96.578641,316.998813284561,2024-02-06 12:31:37,225,-0.00222799999999523,0.000939999999999941
"227",39.187349,-96.578634,317.072475356981,2024-02-06 12:31:38,226,-0.00223700000000093,0.000947000000010689
"228",39.187339,-96.578627,317.134704627097,2024-02-06 12:31:39,227,-0.002246999999997,0.000954000000007227
"229",39.187329,-96.57862,317.182583248243,2024-02-06 12:31:40,228,-0.00225700000000018,0.000961000000003764
"230",39.187319,-96.578615,317.222991702147,2024-02-06 12:31:41,229,-0.00226699999999624,0.000966000000005351
"231",39.187308,-96.57861,317.222545467317,2024-02-06 12:31:42,230,-0.00227799999999689,0.000971000000006939
"232",39.187298,-96.578605,317.20514926035,2024-02-06 12:31:43,231,-0.00228800000000007,0.000976000000008526
"233",39.187287,-96.5786,317.19746025186,2024-02-06 12:31:44,232,-0.00229900000000072,0.000981000000010113
"234",39.187277,-96.578595,317.189760093577,2024-02-06 12:31:45,233,-0.00230899999999679,0.000985999999997489
"235",39.187265,-96.57859,317.185987787321,2024-02-06 12:31:46,234,-0.00232100000000202,0.000990999999999076
"236",39.187254,-96.578584,317.189823601395,2024-02-06 12:31:47,235,-0.00233199999999556,0.000996999999998138
"237",39.187242,-96.578578,317.195755750872,2024-02-06 12:31:48,236,-0.00234400000000079,0.00100300000001141
"238",39.187232,-96.578573,317.202419553883,2024-02-06 12:31:49,237,-0.00235399999999686,0.00100799999999879
"239",39.187222,-96.578569,317.209045336582,2024-02-06 12:31:50,238,-0.00236400000000003,0.0010120000000029
"240",39.187212,-96.578565,317.22308484558,2024-02-06 12:31:51,239,-0.0023739999999961,0.00101600000000701
"241",39.187204,-96.578561,317.244217141531,2024-02-06 12:31:52,240,-0.00238199999999722,0.00102000000001112
"242",39.187196,-96.578557,317.272975062951,2024-02-06 12:31:53,241,-0.00238999999999834,0.00102400000000102
"243",39.187187,-96.578551,317.3140525911,2024-02-06 12:31:54,242,-0.00239899999999693,0.00103000000000009
"244",39.187178,-96.578545,317.371880053542,2024-02-06 12:31:55,243,-0.00240799999999552,0.00103599999999915
"245",39.187168,-96.578538,317.431148858741,2024-02-06 12:31:56,244,-0.0024179999999987,0.0010430000000099
"246",39.187158,-96.578532,317.488716235384,2024-02-06 12:31:57,245,-0.00242800000000187,0.00104900000000896
"247",39.187148,-96.578526,317.535528874956,2024-02-06 12:31:58,246,-0.00243799999999794,0.00105500000000802
"248",39.187138,-96.578521,317.572306259535,2024-02-06 12:31:59,247,-0.00244800000000112,0.00106000000000961
"249",39.187129,-96.578517,317.599356845953,2024-02-06 12:32:00,248,-0.00245699999999971,0.00106399999999951
"250",39.187121,-96.578513,317.618924547918,2024-02-06 12:32:01,249,-0.00246500000000083,0.00106800000000362
"251",39.187113,-96.578509,317.608708978631,2024-02-06 12:32:02,250,-0.00247300000000195,0.00107200000000773
